id	1	2	3
181	おしっこもれたろう	だるまさんがころんだ	ねこのピート　大好きなしろいくつ
182	かおかおどんなかお	マーシャとくま	アンパンマンシリーズ大図鑑
183	くれよんのくろくんシリーズ	なし	なし
184	きゅうきゅうしゃのピートくん	寿限無	てんてんきょうだい
185	なし	なし	なし
186	くだものだもの	ふしぎなナイフ	ぐりとぐらシリーズ
187	おつきさまのスープ	すいどう	ひるまのおつきさま
188	ぱんどろぼうシリーズ	なし	なし
189	なし	なし	なし
190	バーバパパのシリーズ	なし	なし
191	おべんとうバス	なべをパカっ	なし
192	ちいさなちいさなシリーズ	だるまさんシリーズ	やさいのがっこう
193	なし	なし	なし
194	みんなうんち	しろくまのパンツ	でんしゃにのったよ
195	100階建てのいえ	シンデレラ	しりとりしましょ
196	童話シリーズ	なし	なし
197	999匹の兄弟	ぐりとぐらシリーズ	どうぞの椅子
198	探検ハンドル	まーくんだいすき	ノンタンシリーズ
199	ペネロペ	アンパンマンシリーズ	なし
200	ひょうたんコロコロ	なし	なし
201	ながいながいかもつれっしゃ	そらまめくんとながいながいまめ	おすわりくまちゃん
202	ポケモン図鑑	のらねこぐんだんシリーズ	おさるのジョージ
203	ぱんどろぼうシリーズ	パンしろくま	すしねずみ
204	なに　はこんでるの？	ぱんどろぼうシリーズ	やさいさん
205	おさるのジャージ	ノンタンシリーズ	くろいくつをはいたねこ
206	おしっこちょっぴりもれたろう	おやおやおやさい	11ぴきのねこシリーズ
207	もったいないばあさん	なし	なし
208	だるまちゃんシリーズ	恐竜たちはペットを飼いたい	10階建てのお姫様のお城
209	ぐりとぐらシリーズ	なし	なし
210	ノンタンシリーズ	ノンタンシリーズ	ノンタンシリーズ
211	はらぺこあおむし	おさるのジョージ	のらねこぐんだんシリーズ
212	ぜったい開けちゃダメ	しろくまのパンツ	せんたくかあちゃん
213	なし	なし	なし
214	おしりたんてい	ぱんどろぼうシリーズ	三匹のやぎのがらがらどん
215	もこもこもこ	だるまさんシリーズ	だるまさんシリーズ
216	トーマス	なし	なし
217	くるま	はらぺこあおむし	なし
218	なし	なし	なし
219	はらぺこあおむし	となりのトトロ	だるまさんシリーズ
220	11ぴきのねこシリーズ	おひさまあはは	くるまにのって
221	なし	なし	なし
222	なし	なし	なし
223	ぱんどろぼうシリーズ	のらねこぐんだんシリーズ	なし
224	どあをあけたら	おばけずかん	ばけたくん
